,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,availability_30,availability_90,number_of_reviews,latitude,longitude,property_type,room_type,neighbourhood_cleansed,minimum_nights,maximum_nights
3369,2.0,1.0,1.0,Real Bed,67.0,68.0,0,0,66,42.34989152821842,-71.14256570935595,House,Private room,Allston,1,1125
3370,1.0,1.0,1.0,Real Bed,99.0,68.0,5,65,2,42.35422819016895,-71.12701636199365,Apartment,Private room,Allston,2,30
3371,1.0,1.0,1.0,Real Bed,80.0,10.0,0,0,1,42.35256658682833,-71.12539767611463,Apartment,Private room,Allston,3,1125
3372,1.0,1.0,2.0,Real Bed,135.0,34.0,12,26,2,42.35174296501306,-71.12733593760599,Apartment,Entire home/apt,Allston,3,28
3373,1.5,1.0,1.0,Real Bed,50.0,50.0,0,0,2,42.35490971516949,-71.13806502190866,House,Private room,Allston,1,360
3374,1.0,1.0,1.0,Real Bed,130.0,68.0,0,0,5,42.35811824635457,-71.1309137213052,Apartment,Entire home/apt,Allston,2,1125
3375,2.0,1.0,1.0,Real Bed,130.0,50.0,29,87,0,42.35018807157599,-71.13249909636312,House,Private room,Allston,1,1125
3376,1.0,1.0,1.0,Real Bed,35.0,68.0,0,0,2,42.35507101824252,-71.13262778120003,House,Private room,Allston,1,1125
3377,1.0,2.0,2.0,Real Bed,75.0,68.0,0,0,0,42.35272546427615,-71.12065085169205,Apartment,Entire home/apt,Allston,4,1125
3378,1.0,1.0,1.0,Real Bed,60.0,68.0,0,0,1,42.35405674490555,-71.12737268438966,Apartment,Private room,Allston,15,45
3379,1.5,1.0,1.0,Real Bed,58.0,50.0,30,90,5,42.35452204280227,-71.13872848232197,House,Private room,Allston,1,1125
3380,1.0,2.0,3.0,Real Bed,208.0,80.0,0,30,0,42.35931487860044,-71.1287699823276,Apartment,Entire home/apt,Allston,1,28
3381,1.0,0.0,2.0,Real Bed,75.0,100.0,0,0,1,42.34772206964164,-71.13355036077326,Apartment,Entire home/apt,Allston,7,80
3382,2.0,1.0,1.0,Real Bed,70.0,35.0,0,0,38,42.35857131198407,-71.12983366784165,House,Private room,Allston,1,1125
3383,1.0,1.0,1.0,Real Bed,295.0,25.0,10,70,31,42.35283178161134,-71.13295586895973,Apartment,Entire home/apt,Allston,1,365
3384,1.0,0.0,1.0,Real Bed,150.0,75.0,30,90,7,42.35195924094416,-71.12064305145879,Apartment,Entire home/apt,Allston,5,30
3385,1.0,1.0,1.0,Futon,65.0,5.0,0,0,9,42.348776251187445,-71.13132203201167,Apartment,Entire home/apt,Allston,3,90
3386,1.0,1.0,1.0,Real Bed,175.0,50.0,1,7,8,42.34942211837766,-71.12938809271583,Apartment,Entire home/apt,Allston,2,1125
3387,1.0,1.0,1.0,Real Bed,175.0,30.0,0,0,3,42.34908408466665,-71.13689600712105,Apartment,Entire home/apt,Allston,2,2
3388,0.0,1.0,2.0,Real Bed,100.0,68.0,3,43,14,42.35478799360237,-71.13208846148751,Apartment,Private room,Allston,1,60
3389,1.0,2.0,4.0,Real Bed,250.0,68.0,3,43,0,42.35335918308216,-71.13034354292151,Apartment,Entire home/apt,Allston,4,365
3390,1.0,2.0,2.0,Real Bed,187.0,40.0,0,1,21,42.34848106128299,-71.13623582342885,Apartment,Entire home/apt,Allston,1,10
3391,1.0,1.0,1.0,Real Bed,80.0,68.0,3,3,1,42.35412285944836,-71.1304857316918,House,Private room,Allston,1,730
3392,1.0,1.0,1.0,Real Bed,70.0,5.0,2,53,22,42.3517345431894,-71.13762470944421,Apartment,Private room,Allston,1,3
3393,1.0,1.0,1.0,Real Bed,115.0,68.0,3,43,2,42.35344916645469,-71.13179683452269,Aprtament,Private room,Allston,1,90
3394,1.0,1.0,1.0,Real Bed,185.0,25.0,29,89,0,42.34630942687163,-71.13481395798996,Apartment,Entire home/apt,Allston,2,1000
3395,1.0,2.0,3.0,Real Bed,260.0,50.0,20,77,35,42.35437569712551,-71.12548068679705,House,Entire home/apt,Allston,2,1125
